S.No. (क्र.सं.),Service ID (सेवा आईडी),Service Name (सेवा का नाम),Service Code (सेवा कोड),Category (श्रेणी),Subcategory (उपश्रेणी),Price (मूल्य - ₹),Warranty (वारंटी),Duration (अवधि),Description (विवरण)
27,elec-newbox-install,New Switchbox Installation,ELE-NSW,Electrician Services,Switch & Socket,149,60 Days Warranty,1.5 hours,"Installing new electrical switchbox at desired location — chiseling, conduit laying, wiring, and modular fitting."
28,elec-mcb,MCB & Distribution Box Upgrade,ELE-MCB,Electrician Services,MCB & Wiring,399,90 Days Warranty,1 hour,"Replacing old fuses with smart MCBs, RCCB shock protector installation, sub-distribution board fitting, and earth check."
29,elec-wiring,House Wiring & Circuit Tracing,ELE-WIRE,Electrician Services,MCB & Wiring,999,90 Days Warranty,2–4 hours,"Full residential wiring trace, earth leak detection, open circuit repair, short-circuit diagnostics, and conduit setup."
30,elec-doorbell,Doorbell & Intercom Repair,ELE-BEL,Electrician Services,Switch & Socket,99,15 Days Warranty,30 mins,"Repairing multi-tune doorbells, wiring checks for digital doorbells, and troubleshooting intercom lines."
31,elec-inverter,Inverter & Battery Service,ELE-INV,Electrician Services,MCB & Wiring,249,30 Days Warranty,45 mins,"Inverter diagnostics, battery acid refilling, terminal corrosion cleaning, backup time check, and circuit repairs."
32,app-ro-repair,RO Purifier Repair & Diagnostics,APP-RO-REP,Appliance Repair,Water Purifier,299,30 Days Warranty,45 mins,"Expert diagnostics for low water flow, taste issues, leakage, continuously running pump, or power supply failure."
33,app-ro-service,RO Purifier Filter Service,APP-RO-SVC,Appliance Repair,Water Purifier,399,30 Days Warranty,1 hour,"Caustic soda flushing, replacement of sediment and pre-carbon filters, checking RO membrane health, and TDS calibration."
34,app-ro-install,RO Purifier Installation,APP-RO-INST,Appliance Repair,Water Purifier,499,30 Days Warranty,1 hour,"Wall-mounting water purifier, connecting inlet diverter valve, waste water drain ducting, and initial water level testing."
35,app-ro-uninstall,RO Purifier Uninstallation,APP-RO-UNINST,Appliance Repair,Water Purifier,299,15 Days Warranty,30 mins,"Dismounting water purifier unit, safe removal of diverter valve, capping plumbing line, and draining internal storage tank."
36,app-washing-repair,Washing Machine Repair & Diagnostics,APP-WASH-REP,Appliance Repair,Washing Machine,249,30 Days Warranty,1 hour,"Diagnosing drum spinning failure, extreme vibrations, drain pump blockage, water inlet failures, or digital PCB card faults."
37,app-washing-install,Washing Machine Installation,APP-WASH-INST,Appliance Repair,Washing Machine,399,30 Days Warranty,45 mins,"Unboxing, transit bolt removal, levelling adjusters setup, inlet hose hookup to tap, drain pipe routing, and trial spin run."
38,app-washing-uninstall,Washing Machine Uninstallation,APP-WASH-UNINST,Appliance Repair,Washing Machine,199,15 Days Warranty,30 mins,"Disconnecting water inlet hose and drain pipe, reinstalling transit bolts for safe transport, and packing cables securely."
39,app-washing-service,Washing Machine Tub Deep Clean,APP-WASH-SVC,Appliance Repair,Washing Machine,499,30 Days Warranty,1.5 hours,"Scale remover flush, lint filter cleaning, high-pressure jet washing of detergent drawer, and drum sanitization."
40,app-geyser-repair,Geyser Repair & Diagnostics,APP-GEY-REP,Appliance Repair,Geyser,299,30 Days Warranty,45 mins,"Diagnosing no-heating issues, water leakage from tank, thermostat tripping, power short circuits, or indicator light faults."
41,app-geyser-service,Geyser Descaling & Maintenance,APP-GEY-SVC,Appliance Repair,Geyser,599,30 Days Warranty,1 hour,"Draining geyser tank, chemical descaling of the heating element, anode rod status check, and pressure release valve test."
42,app-geyser-install,Geyser Installation,APP-GEY-INST,Appliance Repair,Geyser,499,30 Days Warranty,1 hour,"Secure wall mounting, connecting CPVC inlet/outlet connections, electrical connection, earthing safety check, and leak testing."
43,app-geyser-uninstall,Geyser Uninstallation,APP-GEY-UNINST,Appliance Repair,Geyser,199,15 Days Warranty,30 mins,"Draining internal geyser tank safely, disconnecting inlet/outlet pipes, dismounting the unit, and capping connection valves."
44,app-fridge-repair,Refrigerator Repair & Diagnostics,APP-REF-REP,Appliance Repair,Refrigerator,249,30 Days Warranty,1 hour,"Diagnosing no-cooling issues, compressor start failure, clicking noise, capillary blockage, or thermostat malfunction."
45,app-fridge-gas-single,Single-Door Refrigerator Gas Charging,APP-REF-GAS-S,Appliance Repair,Refrigerator,999,90 Days Warranty,1.5 hours,"Nitrogen pressure testing, leak detection, vacuuming, and eco-friendly R134a/R600a gas charging for single-door fridges."
46,app-fridge-gas-double,Double-Door Refrigerator Gas Charging,APP-REF-GAS-D,Appliance Repair,Refrigerator,1499,90 Days Warranty,2 hours,"Leak detection, nitrogen flush, condenser vacuuming, and gas refilling for double-door or frost-free refrigerators."
47,app-fridge-service,Refrigerator Deep Cleaning Service,APP-REF-SVC,Appliance Repair,Refrigerator,299,30 Days Warranty,1.5 hours,"Removing shelves, deep chemical sanitization, cleaning condenser coils from dust, and door gasket mould cleaning."
48,app-microwave-repair,Microwave Oven Repair,APP-MCR-REP,Appliance Repair,Other Appliances,299,30 Days Warranty,45 mins,"Diagnosing magnetron failures, turntable motor replacement, spark issues, keyboard/button faults, or power fuse blows."
49,app-microwave-service,Microwave Deep Clean & Sanitization,APP-MCR-SVC,Appliance Repair,Other Appliances,199,15 Days Warranty,30 mins,"Eco-clean steam degreasing, carbon spot removal, high-temperature sanitization, and outer body polish."
50,app-chimney-repair,Kitchen Chimney Repair & Diagnostics,APP-CHM-REP,Appliance Repair,Other Appliances,299,30 Days Warranty,1 hour,"Troubleshooting low suction power, motor jamming, push-button/touch control panel malfunction, or auto-clean coil failures."
51,app-chimney-install,Kitchen Chimney Installation,APP-CHM-INST,Appliance Repair,Other Appliances,799,90 Days Warranty,1.5 hours,"Wall mounting chimney hood, drilling exhaust duct hole, routing flexible aluminium duct pipe, and initial speed testing."
52,app-chimney-uninstall,Kitchen Chimney Uninstallation,APP-CHM-UNINST,Appliance Repair,Other Appliances,399,15 Days Warranty,45 mins,"Carefully dismounting chimney hood from wall, removing flexible duct pipe, and safe sealing of duct hole."
53,app-chimney-service,Kitchen Chimney Deep Service,APP-CHM-SVC,Appliance Repair,Other Appliances,499,30 Days Warranty,1.5 hours,"Full chimney dismantling, caustic soda chemical boil-wash of grease-clogged baffle filters, blower degreasing, and suction check."
54,home-pigeon,Balcony Pigeon Net Installation,HOM-NET,Home Installations,Book a consultation,1200,3 Year Warranty,3 hours,"Robust HDPE nylon safety nets, stainless steel anchor hooks, and pigeon bird-proofing layout grids for any balcony size."
55,home-plumber,Doorstep Plumbing Utilities,HOM-PLM,Home Installations,Book a consultation,199,15 Days Warranty,1 hour,"Faucet leak repair, sink pipe blockages, washbasin installations, and toilet flush valve checkups."
56,home-carpenter,Carpentry Adjustments & Repairs,HOM-CRP,Home Installations,Book a consultation,249,15 Days Warranty,1.5 hours,"Replacing door locks, drawer slider fittings, kitchen cabinet hinge realignments, and minor wood fixes."
57,home-ceiling,Gypsum False Ceiling Service,HOM-CLG,Home Installations,Book a consultation,4999,5 Year Warranty,2–3 Days,"Designing false ceilings, G.I. metallic support grids, gypsum paneling, cove light fittings, and finishing coat."
